sentence,head,tail,head_offset,tail_offset,head_type,tail_type
二叉搜索树的特点是左子树上所有节点的值均小于根节点的值，右子树上所有节点的值均大于根节点的值，且左右子树也分别为二叉搜索树,根节点,子树,22,50,CON,CON
二叉搜索树的特点是左子树上所有节点的值均小于根节点的值，右子树上所有节点的值均大于根节点的值，且左右子树也分别为二叉搜索树,根节点,根节点,22,41,CON,CON
二叉搜索树的特点是左子树上所有节点的值均小于根节点的值，右子树上所有节点的值均大于根节点的值，且左右子树也分别为二叉搜索树,根节点,二叉搜索树,22,56,CON,CON
二叉搜索树的特点是左子树上所有节点的值均小于根节点的值，右子树上所有节点的值均大于根节点的值，且左右子树也分别为二叉搜索树,二叉搜索树,子树,0,50,CON,CON
二叉搜索树的特点是左子树上所有节点的值均小于根节点的值，右子树上所有节点的值均大于根节点的值，且左右子树也分别为二叉搜索树,二叉搜索树,根节点,0,41,CON,CON
二叉搜索树的特点是左子树上所有节点的值均小于根节点的值，右子树上所有节点的值均大于根节点的值，且左右子树也分别为二叉搜索树,二叉搜索树,二叉搜索树,0,56,CON,CON
二叉搜索树的特点是左子树上所有节点的值均小于根节点的值，右子树上所有节点的值均大于根节点的值，且左右子树也分别为二叉搜索树,子树,根节点,50,41,CON,CON
二叉搜索树的特点是左子树上所有节点的值均小于根节点的值，右子树上所有节点的值均大于根节点的值，且左右子树也分别为二叉搜索树,子树,二叉搜索树,50,56,CON,CON
二叉搜索树的特点是左子树上所有节点的值均小于根节点的值，右子树上所有节点的值均大于根节点的值，且左右子树也分别为二叉搜索树,根节点,二叉搜索树,41,56,CON,CON
邻接表是一种用于表示图的数据结构，对于图中的每个顶点，它都有一个链表，链表中存储了与该顶点相邻接的其他顶点,链表,链表,32,35,CON,CON
邻接表是一种用于表示图的数据结构，对于图中的每个顶点，它都有一个链表，链表中存储了与该顶点相邻接的其他顶点,链表,邻接表,32,0,CON,CON
邻接表是一种用于表示图的数据结构，对于图中的每个顶点，它都有一个链表，链表中存储了与该顶点相邻接的其他顶点,链表,邻接表,35,0,CON,CON
顺序表的核心特征是其逻辑上相邻的元素在物理存储位置上也相邻，并且可以通过数组下标直接计算出元素的存储地址，支持随机访问，插入和删除,数组,删除,36,63,CON,CON
顺序表的核心特征是其逻辑上相邻的元素在物理存储位置上也相邻，并且可以通过数组下标直接计算出元素的存储地址，支持随机访问，插入和删除,数组,访问,36,57,CON,CON
顺序表的核心特征是其逻辑上相邻的元素在物理存储位置上也相邻，并且可以通过数组下标直接计算出元素的存储地址，支持随机访问，插入和删除,数组,插入,36,60,CON,CON
顺序表的核心特征是其逻辑上相邻的元素在物理存储位置上也相邻，并且可以通过数组下标直接计算出元素的存储地址，支持随机访问，插入和删除,删除,访问,63,57,CON,CON
顺序表的核心特征是其逻辑上相邻的元素在物理存储位置上也相邻，并且可以通过数组下标直接计算出元素的存储地址，支持随机访问，插入和删除,删除,插入,63,60,CON,CON
顺序表的核心特征是其逻辑上相邻的元素在物理存储位置上也相邻，并且可以通过数组下标直接计算出元素的存储地址，支持随机访问，插入和删除,访问,插入,57,60,CON,CON
回溯法基础的定义的核心性质是在问题求解过程中通过深度优先搜索方式，系统地尝试所有可能的解路径，当发现当前路径无法得到有效解或已无法,路径,回溯法,44,0,CON,CON
回溯法基础的定义的核心性质是在问题求解过程中通过深度优先搜索方式，系统地尝试所有可能的解路径，当发现当前路径无法得到有效解或已无法,路径,深度优先搜索,44,24,CON,CON
回溯法基础的定义的核心性质是在问题求解过程中通过深度优先搜索方式，系统地尝试所有可能的解路径，当发现当前路径无法得到有效解或已无法,路径,路径,44,52,CON,CON
回溯法基础的定义的核心性质是在问题求解过程中通过深度优先搜索方式，系统地尝试所有可能的解路径，当发现当前路径无法得到有效解或已无法,回溯法,深度优先搜索,0,24,CON,CON
回溯法基础的定义的核心性质是在问题求解过程中通过深度优先搜索方式，系统地尝试所有可能的解路径，当发现当前路径无法得到有效解或已无法,回溯法,路径,0,52,CON,CON
回溯法基础的定义的核心性质是在问题求解过程中通过深度优先搜索方式，系统地尝试所有可能的解路径，当发现当前路径无法得到有效解或已无法,深度优先搜索,路径,24,52,CON,CON
指针是一种变量，其值为内存中另一个变量或对象的地址，通过它可以间接访问和操作该内存位置处的数据,访问,指针,33,0,CON,CON
插入排序是将未排序数据插入已排序序列合适位置的排序方法,排序,插入,23,11,CON,CON
插入排序是将未排序数据插入已排序序列合适位置的排序方法,排序,排序,23,7,CON,CON
插入排序是将未排序数据插入已排序序列合适位置的排序方法,排序,排序,23,14,CON,CON
插入排序是将未排序数据插入已排序序列合适位置的排序方法,排序,插入排序,23,0,CON,CON
插入排序是将未排序数据插入已排序序列合适位置的排序方法,插入,排序,11,7,CON,CON
插入排序是将未排序数据插入已排序序列合适位置的排序方法,插入,排序,11,14,CON,CON
插入排序是将未排序数据插入已排序序列合适位置的排序方法,插入,插入排序,11,0,CON,CON
插入排序是将未排序数据插入已排序序列合适位置的排序方法,排序,排序,7,14,CON,CON
插入排序是将未排序数据插入已排序序列合适位置的排序方法,排序,插入排序,7,0,CON,CON
插入排序是将未排序数据插入已排序序列合适位置的排序方法,排序,插入排序,14,0,CON,CON
广度优先搜索是一种图遍历算法，它从起始顶点开始，按照层次依次访问其邻接顶点，直到遍历完所有顶点或找到目标顶点，通过队列来辅助实现以,遍历,访问,40,30,CON,CON
广度优先搜索是一种图遍历算法，它从起始顶点开始，按照层次依次访问其邻接顶点，直到遍历完所有顶点或找到目标顶点，通过队列来辅助实现以,遍历,队列,40,57,CON,CON
广度优先搜索是一种图遍历算法，它从起始顶点开始，按照层次依次访问其邻接顶点，直到遍历完所有顶点或找到目标顶点，通过队列来辅助实现以,遍历,遍历,40,10,CON,CON
广度优先搜索是一种图遍历算法，它从起始顶点开始，按照层次依次访问其邻接顶点，直到遍历完所有顶点或找到目标顶点，通过队列来辅助实现以,遍历,图,40,9,CON,CON
广度优先搜索是一种图遍历算法，它从起始顶点开始，按照层次依次访问其邻接顶点，直到遍历完所有顶点或找到目标顶点，通过队列来辅助实现以,遍历,广度优先搜索,40,0,CON,CON
广度优先搜索是一种图遍历算法，它从起始顶点开始，按照层次依次访问其邻接顶点，直到遍历完所有顶点或找到目标顶点，通过队列来辅助实现以,访问,队列,30,57,CON,CON
广度优先搜索是一种图遍历算法，它从起始顶点开始，按照层次依次访问其邻接顶点，直到遍历完所有顶点或找到目标顶点，通过队列来辅助实现以,访问,遍历,30,10,CON,CON
广度优先搜索是一种图遍历算法，它从起始顶点开始，按照层次依次访问其邻接顶点，直到遍历完所有顶点或找到目标顶点，通过队列来辅助实现以,访问,图,30,9,CON,CON
广度优先搜索是一种图遍历算法，它从起始顶点开始，按照层次依次访问其邻接顶点，直到遍历完所有顶点或找到目标顶点，通过队列来辅助实现以,访问,广度优先搜索,30,0,CON,CON
广度优先搜索是一种图遍历算法，它从起始顶点开始，按照层次依次访问其邻接顶点，直到遍历完所有顶点或找到目标顶点，通过队列来辅助实现以,队列,遍历,57,10,CON,CON
广度优先搜索是一种图遍历算法，它从起始顶点开始，按照层次依次访问其邻接顶点，直到遍历完所有顶点或找到目标顶点，通过队列来辅助实现以,队列,图,57,9,CON,CON
广度优先搜索是一种图遍历算法，它从起始顶点开始，按照层次依次访问其邻接顶点，直到遍历完所有顶点或找到目标顶点，通过队列来辅助实现以,队列,广度优先搜索,57,0,CON,CON
广度优先搜索是一种图遍历算法，它从起始顶点开始，按照层次依次访问其邻接顶点，直到遍历完所有顶点或找到目标顶点，通过队列来辅助实现以,遍历,图,10,9,CON,CON
广度优先搜索是一种图遍历算法，它从起始顶点开始，按照层次依次访问其邻接顶点，直到遍历完所有顶点或找到目标顶点，通过队列来辅助实现以,遍历,广度优先搜索,10,0,CON,CON
广度优先搜索是一种图遍历算法，它从起始顶点开始，按照层次依次访问其邻接顶点，直到遍历完所有顶点或找到目标顶点，通过队列来辅助实现以,图,广度优先搜索,9,0,CON,CON
顺序表是一种线性表，其特点是逻辑上相邻的元素在物理存储位置上也相邻，它具有随机访问特性，可通过下标直接访问元素，并且插入和删除,插入,访问,58,51,CON,CON
顺序表是一种线性表，其特点是逻辑上相邻的元素在物理存储位置上也相邻，它具有随机访问特性，可通过下标直接访问元素，并且插入和删除,插入,删除,58,61,CON,CON
顺序表是一种线性表，其特点是逻辑上相邻的元素在物理存储位置上也相邻，它具有随机访问特性，可通过下标直接访问元素，并且插入和删除,插入,访问,58,39,CON,CON
顺序表是一种线性表，其特点是逻辑上相邻的元素在物理存储位置上也相邻，它具有随机访问特性，可通过下标直接访问元素，并且插入和删除,插入,线性表,58,6,CON,CON
顺序表是一种线性表，其特点是逻辑上相邻的元素在物理存储位置上也相邻，它具有随机访问特性，可通过下标直接访问元素，并且插入和删除,访问,删除,51,61,CON,CON
顺序表是一种线性表，其特点是逻辑上相邻的元素在物理存储位置上也相邻，它具有随机访问特性，可通过下标直接访问元素，并且插入和删除,访问,访问,51,39,CON,CON
顺序表是一种线性表，其特点是逻辑上相邻的元素在物理存储位置上也相邻，它具有随机访问特性，可通过下标直接访问元素，并且插入和删除,访问,线性表,51,6,CON,CON
顺序表是一种线性表，其特点是逻辑上相邻的元素在物理存储位置上也相邻，它具有随机访问特性，可通过下标直接访问元素，并且插入和删除,删除,访问,61,39,CON,CON
顺序表是一种线性表，其特点是逻辑上相邻的元素在物理存储位置上也相邻，它具有随机访问特性，可通过下标直接访问元素，并且插入和删除,删除,线性表,61,6,CON,CON
顺序表是一种线性表，其特点是逻辑上相邻的元素在物理存储位置上也相邻，它具有随机访问特性，可通过下标直接访问元素，并且插入和删除,访问,线性表,39,6,CON,CON
映射是一种具有唯一性特点的关系，即对于集合A中的任意一个元素，在集合B中都有唯一的一个元素与之对应,集合,集合,32,19,CON,CON
映射是一种具有唯一性特点的关系，即对于集合A中的任意一个元素，在集合B中都有唯一的一个元素与之对应,集合,映射,32,0,CON,CON
映射是一种具有唯一性特点的关系，即对于集合A中的任意一个元素，在集合B中都有唯一的一个元素与之对应,集合,映射,19,0,CON,CON
数组是相同类型数据元素的有序集合,数组,集合,0,14,CON,CON
数组是相同类型数据元素的有序集合,数组,数据元素,0,7,CON,CON
数组是相同类型数据元素的有序集合,集合,数据元素,14,7,CON,CON
快速排序是对无序数组进行分治的排序算法，选择一个基准值将数组分为两部分，小于基准值的元素放在左边，大于基准值的元素放在右边，通过,数组,数组,28,8,CON,CON
快速排序是对无序数组进行分治的排序算法，选择一个基准值将数组分为两部分，小于基准值的元素放在左边，大于基准值的元素放在右边，通过,数组,排序,28,15,CON,CON
快速排序是对无序数组进行分治的排序算法，选择一个基准值将数组分为两部分，小于基准值的元素放在左边，大于基准值的元素放在右边，通过,数组,快速排序,28,0,CON,CON
快速排序是对无序数组进行分治的排序算法，选择一个基准值将数组分为两部分，小于基准值的元素放在左边，大于基准值的元素放在右边，通过,数组,排序,8,15,CON,CON
快速排序是对无序数组进行分治的排序算法，选择一个基准值将数组分为两部分，小于基准值的元素放在左边，大于基准值的元素放在右边，通过,数组,快速排序,8,0,CON,CON
快速排序是对无序数组进行分治的排序算法，选择一个基准值将数组分为两部分，小于基准值的元素放在左边，大于基准值的元素放在右边，通过,排序,快速排序,15,0,CON,CON
回路是图中一条起点和终点相同的路径且除起点和终点外路径上的顶点不重复,路径,路径,15,25,CON,CON
回路是图中一条起点和终点相同的路径且除起点和终点外路径上的顶点不重复,路径,回路,15,0,CON,CON
回路是图中一条起点和终点相同的路径且除起点和终点外路径上的顶点不重复,路径,回路,25,0,CON,CON
深度优先搜索的核心性质是从起始节点开始，沿着一条路径尽可能深地探索直到无法继续或达到目标，然后回溯到前一步，继续探索其他路径，直到遍历完,深度优先搜索,遍历,0,65,CON,CON
深度优先搜索的核心性质是从起始节点开始，沿着一条路径尽可能深地探索直到无法继续或达到目标，然后回溯到前一步，继续探索其他路径，直到遍历完,深度优先搜索,路径,0,24,CON,CON
深度优先搜索的核心性质是从起始节点开始，沿着一条路径尽可能深地探索直到无法继续或达到目标，然后回溯到前一步，继续探索其他路径，直到遍历完,深度优先搜索,路径,0,60,CON,CON
深度优先搜索的核心性质是从起始节点开始，沿着一条路径尽可能深地探索直到无法继续或达到目标，然后回溯到前一步，继续探索其他路径，直到遍历完,遍历,路径,65,24,CON,CON
深度优先搜索的核心性质是从起始节点开始，沿着一条路径尽可能深地探索直到无法继续或达到目标，然后回溯到前一步，继续探索其他路径，直到遍历完,遍历,路径,65,60,CON,CON
深度优先搜索的核心性质是从起始节点开始，沿着一条路径尽可能深地探索直到无法继续或达到目标，然后回溯到前一步，继续探索其他路径，直到遍历完,路径,路径,24,60,CON,CON
冒泡排序是比较相邻元素大小，若顺序错误就把它们交换过来，重复此步骤，将最大元素逐步“冒泡”到数组末尾，每次比较和交换都能确定一个,冒泡排序,数组,0,46,CON,CON
循环链表是一种特殊的链表结构，其特点是尾节点的指针不是指向NULL，而是指向链表的头节点，从而形成一个环形结构，使得链表中的节点可以依次遍历,遍历,指针,68,23,CON,CON
循环链表是一种特殊的链表结构，其特点是尾节点的指针不是指向NULL，而是指向链表的头节点，从而形成一个环形结构，使得链表中的节点可以依次遍历,遍历,链表,68,38,CON,CON
循环链表是一种特殊的链表结构，其特点是尾节点的指针不是指向NULL，而是指向链表的头节点，从而形成一个环形结构，使得链表中的节点可以依次遍历,遍历,链表,68,58,CON,CON
循环链表是一种特殊的链表结构，其特点是尾节点的指针不是指向NULL，而是指向链表的头节点，从而形成一个环形结构，使得链表中的节点可以依次遍历,遍历,尾节点,68,19,CON,CON
循环链表是一种特殊的链表结构，其特点是尾节点的指针不是指向NULL，而是指向链表的头节点，从而形成一个环形结构，使得链表中的节点可以依次遍历,遍历,链表,68,10,CON,CON
循环链表是一种特殊的链表结构，其特点是尾节点的指针不是指向NULL，而是指向链表的头节点，从而形成一个环形结构，使得链表中的节点可以依次遍历,遍历,头节点,68,41,CON,CON
循环链表是一种特殊的链表结构，其特点是尾节点的指针不是指向NULL，而是指向链表的头节点，从而形成一个环形结构，使得链表中的节点可以依次遍历,遍历,循环链表,68,0,CON,CON
循环链表是一种特殊的链表结构，其特点是尾节点的指针不是指向NULL，而是指向链表的头节点，从而形成一个环形结构，使得链表中的节点可以依次遍历,指针,链表,23,38,CON,CON
循环链表是一种特殊的链表结构，其特点是尾节点的指针不是指向NULL，而是指向链表的头节点，从而形成一个环形结构，使得链表中的节点可以依次遍历,指针,链表,23,58,CON,CON
循环链表是一种特殊的链表结构，其特点是尾节点的指针不是指向NULL，而是指向链表的头节点，从而形成一个环形结构，使得链表中的节点可以依次遍历,指针,尾节点,23,19,CON,CON
循环链表是一种特殊的链表结构，其特点是尾节点的指针不是指向NULL，而是指向链表的头节点，从而形成一个环形结构，使得链表中的节点可以依次遍历,指针,链表,23,10,CON,CON
循环链表是一种特殊的链表结构，其特点是尾节点的指针不是指向NULL，而是指向链表的头节点，从而形成一个环形结构，使得链表中的节点可以依次遍历,指针,头节点,23,41,CON,CON
循环链表是一种特殊的链表结构，其特点是尾节点的指针不是指向NULL，而是指向链表的头节点，从而形成一个环形结构，使得链表中的节点可以依次遍历,指针,循环链表,23,0,CON,CON
循环链表是一种特殊的链表结构，其特点是尾节点的指针不是指向NULL，而是指向链表的头节点，从而形成一个环形结构，使得链表中的节点可以依次遍历,链表,链表,38,58,CON,CON
循环链表是一种特殊的链表结构，其特点是尾节点的指针不是指向NULL，而是指向链表的头节点，从而形成一个环形结构，使得链表中的节点可以依次遍历,链表,尾节点,38,19,CON,CON
循环链表是一种特殊的链表结构，其特点是尾节点的指针不是指向NULL，而是指向链表的头节点，从而形成一个环形结构，使得链表中的节点可以依次遍历,链表,链表,38,10,CON,CON
循环链表是一种特殊的链表结构，其特点是尾节点的指针不是指向NULL，而是指向链表的头节点，从而形成一个环形结构，使得链表中的节点可以依次遍历,链表,头节点,38,41,CON,CON
循环链表是一种特殊的链表结构，其特点是尾节点的指针不是指向NULL，而是指向链表的头节点，从而形成一个环形结构，使得链表中的节点可以依次遍历,链表,循环链表,38,0,CON,CON
循环链表是一种特殊的链表结构，其特点是尾节点的指针不是指向NULL，而是指向链表的头节点，从而形成一个环形结构，使得链表中的节点可以依次遍历,链表,尾节点,58,19,CON,CON
循环链表是一种特殊的链表结构，其特点是尾节点的指针不是指向NULL，而是指向链表的头节点，从而形成一个环形结构，使得链表中的节点可以依次遍历,链表,链表,58,10,CON,CON
循环链表是一种特殊的链表结构，其特点是尾节点的指针不是指向NULL，而是指向链表的头节点，从而形成一个环形结构，使得链表中的节点可以依次遍历,链表,头节点,58,41,CON,CON
循环链表是一种特殊的链表结构，其特点是尾节点的指针不是指向NULL，而是指向链表的头节点，从而形成一个环形结构，使得链表中的节点可以依次遍历,链表,循环链表,58,0,CON,CON
循环链表是一种特殊的链表结构，其特点是尾节点的指针不是指向NULL，而是指向链表的头节点，从而形成一个环形结构，使得链表中的节点可以依次遍历,尾节点,链表,19,10,CON,CON
循环链表是一种特殊的链表结构，其特点是尾节点的指针不是指向NULL，而是指向链表的头节点，从而形成一个环形结构，使得链表中的节点可以依次遍历,尾节点,头节点,19,41,CON,CON
循环链表是一种特殊的链表结构，其特点是尾节点的指针不是指向NULL，而是指向链表的头节点，从而形成一个环形结构，使得链表中的节点可以依次遍历,尾节点,循环链表,19,0,CON,CON
循环链表是一种特殊的链表结构，其特点是尾节点的指针不是指向NULL，而是指向链表的头节点，从而形成一个环形结构，使得链表中的节点可以依次遍历,链表,头节点,10,41,CON,CON
循环链表是一种特殊的链表结构，其特点是尾节点的指针不是指向NULL，而是指向链表的头节点，从而形成一个环形结构，使得链表中的节点可以依次遍历,链表,循环链表,10,0,CON,CON
循环链表是一种特殊的链表结构，其特点是尾节点的指针不是指向NULL，而是指向链表的头节点，从而形成一个环形结构，使得链表中的节点可以依次遍历,头节点,循环链表,41,0,CON,CON
回路的核心性质是从回路中任意一点出发，沿着回路的边行进，最终能回到出发点，且回路中的边不重复经过（在简单回路情况下），同时回路包含,回路,回路,38,9,CON,CON
回路的核心性质是从回路中任意一点出发，沿着回路的边行进，最终能回到出发点，且回路中的边不重复经过（在简单回路情况下），同时回路包含,回路,回路,38,0,CON,CON
回路的核心性质是从回路中任意一点出发，沿着回路的边行进，最终能回到出发点，且回路中的边不重复经过（在简单回路情况下），同时回路包含,回路,回路,38,52,CON,CON
回路的核心性质是从回路中任意一点出发，沿着回路的边行进，最终能回到出发点，且回路中的边不重复经过（在简单回路情况下），同时回路包含,回路,回路,38,21,CON,CON
回路的核心性质是从回路中任意一点出发，沿着回路的边行进，最终能回到出发点，且回路中的边不重复经过（在简单回路情况下），同时回路包含,回路,回路,38,61,CON,CON
回路的核心性质是从回路中任意一点出发，沿着回路的边行进，最终能回到出发点，且回路中的边不重复经过（在简单回路情况下），同时回路包含,回路,回路,9,0,CON,CON
回路的核心性质是从回路中任意一点出发，沿着回路的边行进，最终能回到出发点，且回路中的边不重复经过（在简单回路情况下），同时回路包含,回路,回路,9,52,CON,CON
回路的核心性质是从回路中任意一点出发，沿着回路的边行进，最终能回到出发点，且回路中的边不重复经过（在简单回路情况下），同时回路包含,回路,回路,9,21,CON,CON
回路的核心性质是从回路中任意一点出发，沿着回路的边行进，最终能回到出发点，且回路中的边不重复经过（在简单回路情况下），同时回路包含,回路,回路,9,61,CON,CON
回路的核心性质是从回路中任意一点出发，沿着回路的边行进，最终能回到出发点，且回路中的边不重复经过（在简单回路情况下），同时回路包含,回路,回路,0,52,CON,CON
回路的核心性质是从回路中任意一点出发，沿着回路的边行进，最终能回到出发点，且回路中的边不重复经过（在简单回路情况下），同时回路包含,回路,回路,0,21,CON,CON
回路的核心性质是从回路中任意一点出发，沿着回路的边行进，最终能回到出发点，且回路中的边不重复经过（在简单回路情况下），同时回路包含,回路,回路,0,61,CON,CON
回路的核心性质是从回路中任意一点出发，沿着回路的边行进，最终能回到出发点，且回路中的边不重复经过（在简单回路情况下），同时回路包含,回路,回路,52,21,CON,CON
回路的核心性质是从回路中任意一点出发，沿着回路的边行进，最终能回到出发点，且回路中的边不重复经过（在简单回路情况下），同时回路包含,回路,回路,52,61,CON,CON
回路的核心性质是从回路中任意一点出发，沿着回路的边行进，最终能回到出发点，且回路中的边不重复经过（在简单回路情况下），同时回路包含,回路,回路,21,61,CON,CON
二分查找是一种在有序数组中通过不断将区间缩小一半来快速定位目标元素的查找算法其特点是每次比较都能排除一半的元素从而高效地找到目标值,查找,二分查找,34,0,CON,CON
二分查找是一种在有序数组中通过不断将区间缩小一半来快速定位目标元素的查找算法其特点是每次比较都能排除一半的元素从而高效地找到目标值,查找,数组,34,10,CON,CON
二分查找是一种在有序数组中通过不断将区间缩小一半来快速定位目标元素的查找算法其特点是每次比较都能排除一半的元素从而高效地找到目标值,二分查找,数组,0,10,CON,CON
线性结构是一种数据元素之间存在一对一线性关系的数据结构，其特点是数据元素按顺序排列，有唯一的开始元素和结束元素，除开始和结束元素外每个元素,线性结构,数据元素,0,7,CON,CON
线性结构是一种数据元素之间存在一对一线性关系的数据结构，其特点是数据元素按顺序排列，有唯一的开始元素和结束元素，除开始和结束元素外每个元素,线性结构,数据元素,0,32,CON,CON
线性结构是一种数据元素之间存在一对一线性关系的数据结构，其特点是数据元素按顺序排列，有唯一的开始元素和结束元素，除开始和结束元素外每个元素,数据元素,数据元素,7,32,CON,CON
集合是由具有某种特定性质的具体的或抽象的对象汇总而成的集体，这些对象称为该集合的元素,集合,集合,0,37,CON,CON
快速排序是通过一趟排序将数组分为两部分并递归排序,排序,递归,9,20,CON,CON
快速排序是通过一趟排序将数组分为两部分并递归排序,排序,排序,9,22,CON,CON
快速排序是通过一趟排序将数组分为两部分并递归排序,排序,数组,9,12,CON,CON
快速排序是通过一趟排序将数组分为两部分并递归排序,排序,快速排序,9,0,CON,CON
快速排序是通过一趟排序将数组分为两部分并递归排序,递归,排序,20,22,CON,CON
快速排序是通过一趟排序将数组分为两部分并递归排序,递归,数组,20,12,CON,CON
快速排序是通过一趟排序将数组分为两部分并递归排序,递归,快速排序,20,0,CON,CON
快速排序是通过一趟排序将数组分为两部分并递归排序,排序,数组,22,12,CON,CON
快速排序是通过一趟排序将数组分为两部分并递归排序,排序,快速排序,22,0,CON,CON
快速排序是通过一趟排序将数组分为两部分并递归排序,数组,快速排序,12,0,CON,CON
栈是一种限定仅在表尾进行插入和删除操作的线性表，其核心性质为后进先出，即最后进入栈的元素最先被弹出,表尾,插入,8,12,CON,CON
栈是一种限定仅在表尾进行插入和删除操作的线性表，其核心性质为后进先出，即最后进入栈的元素最先被弹出,表尾,线性表,8,20,CON,CON
栈是一种限定仅在表尾进行插入和删除操作的线性表，其核心性质为后进先出，即最后进入栈的元素最先被弹出,表尾,删除,8,15,CON,CON
栈是一种限定仅在表尾进行插入和删除操作的线性表，其核心性质为后进先出，即最后进入栈的元素最先被弹出,插入,线性表,12,20,CON,CON
栈是一种限定仅在表尾进行插入和删除操作的线性表，其核心性质为后进先出，即最后进入栈的元素最先被弹出,插入,删除,12,15,CON,CON
栈是一种限定仅在表尾进行插入和删除操作的线性表，其核心性质为后进先出，即最后进入栈的元素最先被弹出,线性表,删除,20,15,CON,CON
数据的物理结构是指数据在计算机内存或存储设备中的实际存储方式，包括数据元素的存储位置以及它们之间的存储关系，其特点是具体体现数据在物理介质,物理结构,数据元素,3,33,CON,CON
线性结构是一种数据元素之间存在一对一线性关系的数据结构，其中数据元素按顺序排列，每个元素最多有一个直接前驱和一个直接后继,数据元素,线性结构,30,0,CON,CON
线性结构是一种数据元素之间存在一对一线性关系的数据结构，其中数据元素按顺序排列，每个元素最多有一个直接前驱和一个直接后继,数据元素,数据元素,30,7,CON,CON
线性结构是一种数据元素之间存在一对一线性关系的数据结构，其中数据元素按顺序排列，每个元素最多有一个直接前驱和一个直接后继,线性结构,数据元素,0,7,CON,CON
队列的核心特征是先进先出，即先进入队列的元素会先被取出，后进入队列的元素后被取出，如同排队等待服务一样，新加入的元素排在,队列,队列,31,0,CON,CON
队列的核心特征是先进先出，即先进入队列的元素会先被取出，后进入队列的元素后被取出，如同排队等待服务一样，新加入的元素排在,队列,队列,31,17,CON,CON
队列的核心特征是先进先出，即先进入队列的元素会先被取出，后进入队列的元素后被取出，如同排队等待服务一样，新加入的元素排在,队列,队列,0,17,CON,CON
满二叉树是深度为k且有2^k - 1个节点的二叉树，其中每一层的节点数都达到最大值,满二叉树,二叉树,0,22,CON,CON
数组是一种有序数据集合，其中每个元素具有相同的数据类型，通过一个统一的数组名和下标来唯一标识和访问这些元素,访问,集合,47,9,CON,CON
数组是一种有序数据集合，其中每个元素具有相同的数据类型，通过一个统一的数组名和下标来唯一标识和访问这些元素,访问,数组,47,0,CON,CON
数组是一种有序数据集合，其中每个元素具有相同的数据类型，通过一个统一的数组名和下标来唯一标识和访问这些元素,访问,数组,47,35,CON,CON
数组是一种有序数据集合，其中每个元素具有相同的数据类型，通过一个统一的数组名和下标来唯一标识和访问这些元素,访问,数据类型,47,23,CON,CON
数组是一种有序数据集合，其中每个元素具有相同的数据类型，通过一个统一的数组名和下标来唯一标识和访问这些元素,集合,数组,9,0,CON,CON
