sentence,relation,head,tail,head_offset,tail_offset
无向图的核心特征是由顶点集合以及顶点之间的边集合组成，其中边是没有方向的，即顶点之间的连接是双向的,belg,无向图,集合,0,12
顺序查找的核心特征是从数据序列的第一个元素开始，依次逐个检查元素，直到找到目标元素或遍历完整个序列,rely,顺序查找,遍历,0,42
线性结构的核心性质是数据元素之间存在着一对一的线性关系，即除第一个元素外，每个元素有且仅有一个前驱,belg,线性结构,数据元素,0,10
归并排序是将一个无序数组分成两个子数组分别进行排序，再把排序好的子数组合并成一个有序数组的排序算法,rely,归并排序,数组,0,10
存储结构是指数据元素及其关系在计算机存储器中的表示，它具有数据元素的表示和关系的表示这两个核心性质,belg,存储结构,数据元素,0,6
数据类型定义的核心性质包括具有特定的值集合、定义了一组对这些值的操作以及规定了这些操作所遵循的规则,belg,数据类型,集合,0,19
根节点是树结构中的一个特殊节点，它没有父节点，是树的起始点，树中的其他节点都直接或间接连接到根节点,none,根节点,父节点,0,19
根节点是树结构中的一个特殊节点，它没有父节点，是树的起始点，树中的其他节点都直接或间接连接到根节点,none,根节点,父节点,0,19
栈是一种只能在一端进行插入和删除操作的特殊线性表，允许操作的一端称为栈顶，不允许操作的一端称为栈底,none,插入,删除,11,14
归并排序是将一个无序数组分成两个子数组分别递归排序后再将排序好的子数组合并成一个有序数组的排序算法,rely,归并排序,数组,0,10
比较排序是基于元素之间的比较来确定元素顺序的排序算法其核心性质为通过比较元素大小来逐步构建有序序列,belg,比较排序,排序,0,22
栈是一种只能在一端进行插入和删除操作的特殊线性表，允许操作的一端称为栈顶，不允许操作的一端称为栈底,none,插入,删除,11,14
根节点是树结构中的一个特殊节点，它没有父节点，是树的起始点，树中的其他节点都直接或间接连接到根节点,none,根节点,父节点,0,19
栈是一种只能在一端进行插入和删除操作的特殊线性表，允许操作的一端称为栈顶，不允许操作的一端称为栈底,none,插入,删除,11,14
顺序表是用一组地址连续的存储单元依次存储线性表中的数据元素，使得逻辑上相邻的元素在物理位置上也相邻,belg,线性表,数据元素,20,25
平衡二叉树是一棵空树或它的左右两个子树的高度差的绝对值不超过1，并且左右两个子树都是一棵平衡二叉树,rely,平衡二叉树,树的高度,0,18
队列是一种特殊的线性表，它只允许在表的一端进行插入操作，而在另一端进行删除操作，具有先进先出的特性,b-belg,队列,线性表,0,8
递归基础是递归算法中递归调用结束的条件即当满足特定条件时递归函数不再进行自身调用而是返回一个确定值,rely,递归基础,递归,0,5
二叉树每个节点最多有两棵子树，并且二叉树的度最大为2，同时二叉树的左右子树是有顺序的，次序不能颠倒,belg,二叉树,子树,0,12
二叉树是一种树形结构，其每个节点最多有两个子节点，分别称为左子节点和右子节点，并且二叉树可以为空树,belg,二叉树,子节点,0,21
双向链表每个节点包含数据、指向前一个节点的指针和指向后一个节点的指针，既可以向前遍历也可以向后遍历,belg,双向链表,指针,0,21
在图论中回路是指在一个图中从某一顶点出发，沿着边连续移动，经过若干个不同顶点后又回到起始顶点的路径,belg,回路,路径,4,47
子节点是树结构中直接位于某一节点下方的节点，具有与父节点存在直接层级关系且处于其下一层级的核心性质,belg,子节点,父节点,0,25
平衡二叉树是一棵空树或它的左右两个子树的高度差的绝对值不超过1，并且左右两个子树都是一棵平衡二叉树,rely,平衡二叉树,树的高度,0,18
平衡二叉树是一种二叉排序树，其每个结点的左右子树高度差的绝对值不超过1且左右子树均为一棵平衡二叉树,b-belg,平衡二叉树,排序,0,10
根节点是树结构中的一个特殊节点，它没有父节点，是树的起始点，树中的其他节点都直接或间接连接到根节点,none,根节点,父节点,0,19
队列是一种特殊的线性表，它只允许在表的一端进行插入操作，而在另一端进行删除操作，具有先进先出的特性,b-belg,队列,线性表,0,8
线性查找是按顺序依次对数据集合中的每个元素进行比较判断，直至找到目标元素或遍历完整个集合的查找方法,rely,查找,集合,2,13
简单排序是对数据元素按照特定规则进行比较和交换等操作以实现从小到大或从大到小有序排列的一种排序方式,rely,简单排序,数据元素,0,6
顺序表具有随机访问效率高、存储密度大、逻辑上相邻元素物理存储位置也相邻但插入和删除操作效率低等特点,none,访问,插入,7,36
单链表是一种链式存储的线性表，每个节点包含数据元素以及指向后继节点的指针，且最后一个节点的指针为空,b-belg,单链表,线性表,0,11
归并排序的核心性质是将一个数组分成两个子数组分别进行排序，然后将排序好的子数组合并成一个有序的数组,rely,归并排序,数组,0,13
双向链表是一种线性数据结构，其中每个节点包含一个数据元素以及分别指向其前驱节点和后继节点的两个指针,belg,双向链表,数据元素,0,24
完全二叉树是一种除最后一层外，每一层上的节点数都达到最大值，且最后一层上只缺少右边若干节点的二叉树,b-belg,完全二叉树,二叉树,0,46
归并排序的核心特征是将一个序列分成两个子序列分别进行排序，然后将排序好的子序列合并成一个有序的序列,rely,归并排序,排序,0,26
栈是一种后进先出的数据结构，其元素的插入和删除操作都在同一端进行，这一端被称为栈顶，另一端则为栈底,anto,插入,删除,18,21
顺序查找的核心特征是从数据序列的第一个元素开始，依次逐个检查元素，直到找到目标元素或遍历完整个序列,rely,顺序查找,遍历,0,42
顺序表具有随机访问效率高、存储密度大、逻辑上相邻的数据元素物理上也相邻但插入和删除操作效率低的特点,rely,访问,数据元素,7,25
数组是一种具有固定大小的数据结构，其中元素具有相同的数据类型，并且可以通过下标来访问和修改这些元素,none,数组,数据类型,0,26
回路是在图中从一个顶点出发，沿着边连续移动，最终回到起始顶点且路径中顶点不重复（除起始顶点）的路径,b-belg,回路,路径,0,31
有向图是一种由顶点集合及顶点间的有向边构成的图，其中每条边都有明确的方向，从一个顶点指向另一个顶点,belg,有向图,集合,0,9
图是一种由顶点集合及顶点间的边的集合组成的数据结构，其中顶点表示数据元素，边表示数据元素之间的关系,none,集合,集合,7,16
根节点是树结构中的一个特殊节点，它没有父节点，是树的起始点，树中的其他节点都直接或间接连接到根节点,none,根节点,父节点,0,19
归并排序的核心性质是将一个数组分成两个子数组分别进行排序，然后将排序好的子数组合并成一个有序的数组,rely,归并排序,数组,0,13
二分查找是在有序数组中通过不断将区间缩小一半来查找目标值，具有查找效率高、时间复杂度为对数级的特点,rely,二分查找,数组,0,8
树的高度是从根节点到最远叶子节点的最长简单路径上的边数或节点数所体现出的关于树的垂直延伸程度的特征,rely,树的高度,根节点,0,6
栈是一种只能在一端进行插入和删除操作的特殊线性表，允许操作的一端称为栈顶，不允许操作的一端称为栈底,none,插入,删除,11,14
简单排序是对数据序列进行比较和交换等操作以实现排序，具有操作相对简单、适用于较小规模数据序列等特点,b-belg,简单排序,排序,0,23
稳定性是指在数据结构中，对于相同的输入，排序算法产生的输出序列中，相等元素的相对顺序保持不变的性质,rely,稳定性,排序,0,20
操作效率是指在数据结构中进行各种操作（如插入、删除、查找等）时所花费的时间和空间资源的综合表现情况,rely,操作效率,插入,0,20
根节点是树结构中的一个特殊节点，它没有父节点，是树的起始点，树中的其他节点都直接或间接连接到根节点,none,根节点,父节点,0,19
比较排序是基于元素间比较来确定元素相对顺序的排序算法其核心特征是通过比较元素大小来逐步构建有序序列,belg,比较排序,排序,0,22
归并排序的核心性质是将一个数组分成两个子数组分别进行排序，然后将排序好的子数组合并成一个有序的数组,rely,归并排序,数组,0,13
双向链表是一种链表数据结构，其中每个节点包含一个数据元素以及分别指向其前驱节点和后继节点的两个指针,b-belg,双向链表,链表,0,7
根节点是树结构中的一个特殊节点，它没有父节点，是树的起始点，树中的其他节点都直接或间接连接到根节点,none,根节点,父节点,0,19
简单排序是对数据序列通过比较和交换元素位置等基本操作，将其按特定顺序（如升序或降序）排列的排序方法,belg,简单排序,排序,0,45
队列是一种特殊的线性表，它只允许在表的一端进行插入操作，而在另一端进行删除操作，遵循先进先出的原则,b-belg,队列,线性表,0,8
简单排序是对数据序列通过比较和交换元素位置等基本操作，将其按特定顺序（如升序或降序）排列的排序方法,b-belg,简单排序,排序,0,45
在图论中回路是指在一个图中从某一顶点出发，沿着边连续移动，经过若干个不同顶点后又回到起始顶点的路径,belg,回路,路径,4,47
归并排序是将一个无序数组分成两个子数组分别递归排序，再把排序好的子数组合并成一个有序数组的排序算法,rely,归并排序,数组,0,10
指针是一种变量，其值为内存中另一个变量或对象的地址，通过它可以间接访问和操作所指向的内存位置的数据,rely,指针,访问,0,33
平衡二叉树是一棵空树或它的左右两个子树的高度差的绝对值不超过1，并且左右两个子树都是一棵平衡二叉树,rely,平衡二叉树,树的高度,0,18
在树形数据结构中父节点是直接有一个或多个子节点连接在其下方的节点且处于比子节点更高层次的结构位置上,belg,父节点,子节点,8,20
插入排序的核心性质是将未排序数据插入到已排序序列的合适位置，通过不断重复此操作，最终使整个数组有序,belg,插入排序,排序,0,12
栈是一种只能在一端进行插入和删除操作的特殊线性表，允许操作的一端称为栈顶，不允许操作的一端称为栈底,none,插入,删除,11,14
稳定性的定义的核心性质是对于已排好序的输入序列，排序算法在排序过程中不会改变相同元素之间的相对顺序,rely,稳定性,排序,0,24
图的边是连接图中两个顶点的线，它可以表示顶点之间的关系，并且在有向图中边具有方向而无向图中边无方向,belg,图的边,有向图,0,31
有向图是由顶点集和有向边集组成的一种图结构其中有向边是顶点的有序对表示从一个顶点指向另一个顶点的方向,b-belg,有向图,图,0,18
归并排序是将一个无序数组分成两个子数组分别递归排序后，再将排序好的子数组合并成一个有序数组的排序算法,rely,归并排序,数组,0,10
完全二叉树是一种除最后一层外，每一层上的节点数均达到最大值，且最后一层上只缺少右边的若干节点的二叉树,b-belg,完全二叉树,二叉树,0,47
指针是一种变量，其值为内存中另一个变量或对象的地址，通过该指针可以访问和操作其所指向的内存位置的数据,none,指针,指针,0,29
线性查找的核心特征是从数据序列的起始位置开始，依次逐个检查元素，直到找到目标元素或遍历完整个序列为止,rely,查找,遍历,2,41
队列是一种特殊的线性表，它只允许在表的前端进行删除操作，而在表的后端进行插入操作，遵循先进先出的原则,b-belg,队列,线性表,0,8
链表是一种物理存储单元上非连续、非顺序的存储结构，数据元素的逻辑顺序是通过链表中的指针链接次序实现的,b-belg,链表,存储结构,0,20
二叉搜索树中任意节点的左子树中的所有节点的值均小于该节点的值且右子树中的所有节点的值均大于该节点的值,belg,二叉搜索树,左子树,0,11
递归基础是递归算法中最简单的情况，通常是问题的最小规模或最基本形式，直接给出答案而无需进一步递归调用,belg,递归基础,递归,0,5
循环链表是一种链表，其尾节点的指针指向头节点，使得从链表中的任意节点出发都可以遍历整个链表形成一个环,b-belg,循环链表,链表,0,7
图是一种由顶点集合以及顶点之间的边集合所构成的数据结构，其中顶点是图的基本元素，边表示顶点之间的关系,none,集合,集合,7,17
链表是一种物理存储单元上非连续、非顺序的存储结构，数据元素的逻辑顺序是通过链表中的指针链接次序实现的,b-belg,链表,存储结构,0,20
队列是一种特殊的线性表，它只允许在表的前端进行删除操作，而在表的后端进行插入操作，遵循先进先出的原则,b-belg,队列,线性表,0,8
队列是一种先进先出的数据结构，其核心性质为元素按照进入的先后顺序依次存储，先进入队列的元素先离开队列,syno,队列,队列,0,40
链表是一种物理存储单元上非连续、非顺序的存储结构，数据元素的逻辑顺序是通过链表中的指针链接次序实现的,b-belg,链表,存储结构,0,20
链表是一种物理存储单元上非连续、非顺序的存储结构，数据元素的逻辑顺序是通过链表中的指针链接次序实现的,b-belg,链表,存储结构,0,20
链表是一种物理存储单元上非连续、非顺序的存储结构，数据元素的逻辑顺序是通过链表中的指针链接次序实现的,b-belg,链表,存储结构,0,20
队列是一种特殊的线性表，它只允许在表的前端进行删除操作，而在表的后端进行插入操作，遵循先进先出的原则,b-belg,队列,线性表,0,8
链表是一种物理存储单元上非连续、非顺序的存储结构，数据元素的逻辑顺序是通过链表中的指针链接次序实现的,b-belg,链表,存储结构,0,20
双向链表的核心性质是每个节点除了有指向下一个节点的指针外还有指向前一个节点的指针从而可以双向遍历链表,belg,双向链表,指针,0,25
交换排序是一种通过比较元素并交换不满足顺序要求的元素位置来逐步将无序序列转变为有序序列的数据排序方法,belg,交换排序,排序,0,46
链表是一种物理存储单元上非连续、非顺序的存储结构，数据元素的逻辑顺序是通过链表中的指针链接次序实现的,b-belg,链表,存储结构,0,20
无向图是一种图结构，由顶点集合和边集合组成，其中边是顶点的无序对，顶点之间通过边相连且不区分边的方向,b-belg,无向图,图,0,6
递归基础是递归算法中满足特定条件的初始情况，在此情况下递归函数直接返回一个已知结果而不再进行递归调用,belg,递归基础,递归,0,5
映射是一种从集合A到集合B的对应关系，对于集合A中的每一个元素，在集合B中都有唯一的一个元素与之对应,rely,映射,集合,0,6
算法效率是指算法执行所需要的计算机资源量，包括时间资源和空间资源，通常用时间复杂度和空间复杂度来衡量,none,时间复杂度,空间复杂度,36,42
根节点是树结构中的一个特殊节点，它没有父节点，是整个树的起始点，其他所有节点都直接或间接连接到根节点,none,根节点,父节点,0,19
队列是一种特殊的线性表，它只允许在表的前端进行删除操作，而在表的后端进行插入操作，遵循先进先出的原则,b-belg,队列,线性表,0,8
图的核心特征是由顶点集合以及顶点之间的边集合所构成的数据结构，其中顶点表示事物，边表示事物之间的关系,none,集合,集合,10,20
链表是一种物理存储单元上非连续、非顺序的存储结构，数据元素的逻辑顺序是通过链表中的指针链接次序实现的,b-belg,链表,存储结构,0,20
数组是具有相同数据类型的一组数据元素的集合，这些元素在内存中按顺序存储，可通过下标唯一地访问每个元素,b-belg,数组,数据类型,0,7
稳定性是指在数据结构中，若存在两个相等的元素，在排序前后它们的相对位置保持不变则该数据结构具有稳定性,rely,稳定性,排序,0,24
冒泡排序是一种比较相邻元素大小，若顺序错误就把它们交换过来，重复此步骤直到整个数组都被排序的排序算法,rely,冒泡排序,数组,0,39
线性查找的核心特征是从数据序列的起始位置开始，依次逐个检查元素，直到找到目标元素或遍历完整个序列为止,rely,查找,遍历,2,41
二分查找是在有序数组中，通过不断将区间缩小一半的方式，查找目标元素是否存在并确定其位置的一种查找算法,rely,二分查找,数组,0,8
链表是一种物理存储单元上非连续、非顺序的存储结构，数据元素的逻辑顺序是通过链表中的指针链接次序实现的,b-belg,链表,存储结构,0,20
二叉树是一种树形结构，它的每个节点最多有两个子节点，分别称为左子节点和右子节点，并且二叉树可以为空树,belg,二叉树,子节点,0,22
映射是一种从集合A到集合B的对应关系，对于集合A中的每一个元素，在集合B中都有唯一的一个元素与之对应,rely,映射,集合,0,6
二叉搜索树中每个节点的左子树中的所有节点的值均小于该节点的值且右子树中的所有节点的值均大于该节点的值,belg,二叉搜索树,左子树,0,11
父节点是树结构中一个节点，有一个或多个子节点，且在从根节点到该节点的路径上，它是子节点的直接前驱节点,rely,父节点,子节点,0,19
队列是一种特殊的线性表，它只允许在表的前端进行删除操作，而在表的后端进行插入操作，遵循先进先出的原则,b-belg,队列,线性表,0,8
双向链表的核心性质是每个节点除了有指向下一个节点的指针外还有指向前一个节点的指针从而可以双向遍历链表,belg,双向链表,指针,0,25
图的核心特征是由顶点集合以及顶点之间的边集合所构成的数据结构，其中顶点表示事物，边表示事物之间的关系,none,集合,集合,10,20
队列是一种特殊的线性表，它只允许在表的前端进行删除操作，而在表的后端进行插入操作，遵循先进先出的原则,b-belg,队列,线性表,0,8
数据的逻辑结构的核心性质包括数据元素之间的逻辑关系，以及这些关系所决定的数据组织形式和操作方式等方面,rely,逻辑结构,数据元素,3,14
队列是一种特殊的线性表，它只允许在表的前端进行删除操作，而在表的后端进行插入操作，具有先进先出的特性,b-belg,队列,线性表,0,8
无向图是一种由顶点集合以及顶点之间的边集合组成的图结构其中边是没有方向的顶点对表示顶点之间的连接关系,belg,无向图,集合,0,9
二分查找是在有序数组中，通过不断将区间分成两半并比较中间元素与目标值，以确定目标值所在位置的查找算法,rely,二分查找,数组,0,8
队列是一种特殊的线性表，它只允许在表的前端进行删除操作，而在表的后端进行插入操作，遵循先进先出的原则,b-belg,队列,线性表,0,8
对于给定数据结构的排序算法，在原数据序列中相同元素的相对位置在排序前后保持不变则该排序算法具有稳定性,syno,排序,排序,9,31
链表是一种物理存储单元上非连续、非顺序的存储结构，数据元素的逻辑顺序是通过链表中的指针链接次序实现的,b-belg,链表,存储结构,0,20
子节点是树结构中直接连接在父节点之下的节点，具有与父节点的特定连接关系且可能有自己的子节点等相关特性,belg,子节点,父节点,0,13
队列是一种特殊的线性表，它只允许在表的前端进行删除操作，而在表的后端进行插入操作，遵循先进先出的原则,b-belg,队列,线性表,0,8
二叉树是一种树型结构，它的每个节点最多有两个子节点，分别称为左子节点和右子节点，并且二叉树可以为空树,belg,二叉树,子节点,0,22
冒泡排序是一种比较相邻元素大小，若顺序错误就把它们交换过来，重复此步骤直到整个数组都被排序的排序算法,rely,冒泡排序,数组,0,39
循环链表的核心特征是其尾节点的指针不是指向空，而是指向链表的头节点，从而使得整个链表形成一个环形结构,rely,循环链表,尾节点,0,11
链表是一种物理存储单元上非连续、非顺序的存储结构，数据元素的逻辑顺序是通过链表中的指针链接次序实现的,b-belg,链表,存储结构,0,20
有向图是由顶点集和有向边集组成的一种图结构其中有向边是顶点的有序对表示从一个顶点指向另一个顶点的方向,b-belg,有向图,图,0,18
操作效率是指在数据结构中进行各种操作（如插入、删除、查找等）时所花费的时间、空间等资源的综合表现情况,rely,操作效率,插入,0,20
简单排序是对数据序列进行排序的一种方式其核心性质是通过比较和交换元素位置将无序数据序列转换为有序序列,b-belg,简单排序,排序,0,12
队列是一种特殊的线性表，其特点是只允许在一端进行插入操作，而在另一端进行删除操作，具有先进先出的特性,b-belg,队列,线性表,0,8
队列是一种特殊的线性表，它只允许在表的前端进行删除操作，而在表的后端进行插入操作，遵循先进先出的原则,b-belg,队列,线性表,0,8
冒泡排序是一种比较相邻元素大小，若顺序错误就把它们交换过来，重复此步骤直到整个数组都被排序的排序算法,rely,冒泡排序,数组,0,39
操作效率的特点是指数据结构在执行各种操作（如插入、删除、查找等）时所表现出的时间和空间方面的性能特性,none,操作效率,插入,0,22
数组的核心性质是其元素在内存中按顺序存储且具有相同的数据类型，通过下标可以方便地访问和修改其中的元素,b-attr,数组,数据类型,0,26
数据的物理结构的核心特征是数据元素在计算机中的存储方式以及数据元素之间的逻辑关系在计算机中的表示方式,belg,物理结构,数据元素,3,13
队列是一种特殊的线性表，它只允许在表的前端进行删除操作，而在表的后端进行插入操作，遵循先进先出的原则,b-belg,队列,线性表,0,8
无向图是由顶点集和边集组成的一种图结构，其中边集是顶点集的无序对集合，顶点之间通过边相连且边没有方向,b-belg,无向图,图,0,16
顺序表具有逻辑上相邻的元素在物理存储位置上也相邻、可随机访问、存储密度高、插入和删除操作效率低等特点,none,访问,插入,28,37
在无向图中，若从顶点vi到顶点vj有路径（当然从vj到vi也一定有路径），则称vi和vj是连通的，若,belg,无向图,路径,1,18
链表是一种物理存储单元上非连续、非顺序的存储结构，数据元素的逻辑顺序是通过链表中的指针链接次序实现的,b-belg,链表,存储结构,0,20
根节点是树结构中的起始节点，没有父节点，是整个树结构的入口和基础，通过它可以遍历和访问树中的其他节点,none,根节点,父节点,0,16
顺序表具有逻辑上相邻的元素在物理存储位置上也相邻、可随机访问、存储密度高但插入和删除操作效率低等特点,none,访问,插入,28,37
树的高度的核心特征是从树的根节点到最远叶子节点之间最长简单路径上的边数或节点数所代表的垂直距离度量值,rely,树的高度,根节点,0,13
链表是一种物理存储单元上非连续、非顺序的存储结构，数据元素的逻辑顺序是通过链表中的指针链接次序实现的,b-belg,链表,存储结构,0,20
链表是一种物理存储单元上非连续、非顺序的存储结构，数据元素的逻辑顺序是通过链表中的指针链接次序实现的,b-belg,链表,存储结构,0,20
队列是一种特殊的线性表，其特点是只允许在一端进行插入操作，而在另一端进行删除操作，遵循先进先出的原则,b-belg,队列,线性表,0,8
冒泡排序是一种比较相邻元素大小，若顺序错误就把它们交换过来，重复此步骤直到整个数组都被排序的排序算法,rely,冒泡排序,数组,0,39
无向图是一种由顶点集合以及顶点之间的边集合组成的图结构，其中边是没有方向的，即顶点之间的连接是双向的,belg,无向图,集合,0,9
邻接矩阵是用于表示图的一种矩阵，其特点的核心特征包括：若图中有n个顶点，则邻接矩阵是一个n×n的方阵,syno,邻接矩阵,邻接矩阵,0,37
有向图是一种由顶点集合以及顶点间的有向边集合组成的图，其中有向边是有方向的，从一个顶点指向另一个顶点,belg,有向图,集合,0,9
根节点是树结构中处于顶层没有父节点的唯一节点，它是树的起始点，从它开始向下延伸出树的各个分支和子节点,none,根节点,父节点,0,14
父节点具有在树形结构中处于上一级位置且拥有子节点的特点其核心性质为可通过它访问到其下一级的子节点集合,rely,父节点,子节点,0,21
有向图是由顶点集和有向边集组成的一种图结构其中有向边是顶点的有序对表示从一个顶点指向另一个顶点的方向,b-belg,有向图,图,0,18
队列是一种特殊的线性表，它只允许在表的前端进行删除操作，而在表的后端进行插入操作，遵循先进先出的原则,b-belg,队列,线性表,0,8
二叉树的遍历是按照某种特定规则依次访问二叉树中的每一个节点使得每个节点被访问且仅被访问一次的操作过程,rely,二叉树,遍历,0,4
链表是一种物理存储单元上非连续、非顺序的存储结构，数据元素的逻辑顺序是通过链表中的指针链接次序实现的,b-belg,链表,存储结构,0,20
链表是一种物理存储单元上非连续、非顺序的存储结构，数据元素的逻辑顺序是通过链表中的指针链接次序实现的,b-belg,链表,存储结构,0,20
数组是一种有序数据元素的集合，每个元素具有相同的数据类型，可通过数组名和下标来唯一标识和访问这些元素,belg,数组,数据元素,0,7
线性查找是从线性表的一端开始，顺序依次检查线性表中的每个元素，直到找到目标元素或遍历完整个线性表为止,rely,查找,线性表,2,6
队列是一种特殊的线性表，它只允许在表的前端进行删除操作，而在表的后端进行插入操作，遵循先进先出的原则,b-belg,队列,线性表,0,8
链表是一种物理存储单元上非连续、非顺序的存储结构，数据元素的逻辑顺序是通过链表中的指针链接次序实现的,b-belg,链表,存储结构,0,20
链表是一种物理存储单元上非连续、非顺序的存储结构，数据元素的逻辑顺序是通过链表中的指针链接次序实现的,b-belg,链表,存储结构,0,20
顺序查找的核心特征是从数据序列的起始位置开始，依次逐个检查元素，直到找到目标元素或遍历完整个序列为止,rely,顺序查找,遍历,0,41
链表是一种物理存储单元上非连续、非顺序的存储结构，数据元素的逻辑顺序是通过链表中的指针链接次序实现的,b-belg,链表,存储结构,0,20
冒泡排序是一种比较相邻元素大小，若顺序错误就把它们交换过来，重复此步骤直到整个数组都被排序的排序算法,rely,冒泡排序,数组,0,39
二叉树的核心性质为在二叉树的第i层上至多有2的i-1次方个节点（i≥1），深度为k的二叉树至多有2的,syno,二叉树,二叉树,0,10
有向图是由顶点集和有向边集组成的一种图结构其中有向边是顶点的有序对表示从一个顶点指向另一个顶点的方向,b-belg,有向图,图,0,18
链表是一种物理存储单元上非连续、非顺序的存储结构，数据元素的逻辑顺序是通过链表中的指针链接次序实现的,b-belg,链表,存储结构,0,20
在图论中，回路是指在一个图中从某一顶点出发，沿着边连续移动，经过若干个不同顶点后又回到起始顶点的路径,belg,回路,路径,5,48
映射是一种从集合A到集合B的对应关系，对于集合A中的每一个元素，在集合B中都有唯一的一个元素与之对应,rely,映射,集合,0,6
队列是一种特殊的线性表，它只允许在表的前端进行删除操作，而在表的后端进行插入操作，具有先进先出的特性,b-belg,队列,线性表,0,8
树中各节点度的最大值即为树的度树中每个节点的度都小于或等于树的度且树中至少存在一个节点其度等于树的度,syno,树的度,树的度,12,29
数据的物理结构是数据元素在计算机存储空间中的存储方式包括数据元素的存储位置以及数据元素之间关系的表示,belg,物理结构,数据元素,3,8
链表是一种物理存储单元上非连续、非顺序的存储结构，数据元素的逻辑顺序是通过链表中的指针链接次序实现的,b-belg,链表,存储结构,0,20
链表是一种物理存储单元上非连续、非顺序的存储结构，数据元素的逻辑顺序是通过链表中的指针链接次序实现的,b-belg,链表,存储结构,0,20
父节点是树状结构中位于某一节点之上，拥有子节点，且对于其所有子节点而言具有层级上的直接管辖关系的节点,belg,父节点,子节点,0,20
图的边是连接图中两个顶点的元素，具有方向或无方向、有权重或无权重等特点，边的集合决定了图的结构和性质,b-rely,图的边,集合,0,38
链表是一种物理存储单元上非连续、非顺序的存储结构，数据元素的逻辑顺序是通过链表中的指针链接次序实现的,b-belg,链表,存储结构,0,20
图的核心特征是由顶点集合以及顶点之间的边集合所构成的数据结构，其中顶点表示事物，边表示事物之间的关系,none,集合,集合,10,20
